NodesNumber;Density;Time
200;0.25;2064
200;0.25;2047
200;0.25;2051
200;0.25;2079
200;0.25;2070
200;0.25;2105
200;0.25;2057
200;0.25;2037
200;0.25;2195
200;0.25;2048
200;0.25;2047
200;0.25;2064
200;0.25;2043
200;0.25;2117
200;0.25;2056
200;0.25;2082
200;0.25;2062
200;0.25;2045
200;0.25;2069
200;0.25;2097
200;0.25;2050
200;0.25;2044
200;0.25;2039
200;0.25;2138
200;0.25;2086
200;0.25;2085
200;0.25;2098
200;0.25;2079
200;0.25;2099
200;0.25;2037
200;0.25;2081
200;0.25;2085
200;0.25;2123
200;0.25;2127
200;0.25;2056
200;0.25;2070
200;0.25;2063
200;0.25;2194
200;0.25;7080
200;0.25;2063
200;0.25;2114
200;0.25;2127
200;0.25;2129
200;0.25;2082
200;0.25;2082
200;0.25;2034
200;0.25;2066
200;0.25;2054
200;0.25;2041
200;0.25;2068
200;0.5;4265
200;0.5;4225
200;0.5;4231
200;0.5;4277
200;0.5;4156
200;0.5;4153
200;0.5;4278
200;0.5;4275
200;0.5;4265
200;0.5;4195
200;0.5;4263
200;0.5;4247
200;0.5;4367
200;0.5;4272
200;0.5;4183
200;0.5;4268
200;0.5;4242
200;0.5;4314
200;0.5;4219
200;0.5;4222
200;0.5;4169
200;0.5;4314
200;0.5;4216
200;0.5;4244
200;0.5;4284
200;0.5;4278
200;0.5;10446
200;0.5;4257
200;0.5;4402
200;0.5;4317
200;0.5;4242
200;0.5;4218
200;0.5;4258
200;0.5;4214
200;0.5;4190
200;0.5;4209
200;0.5;4229
200;0.5;4239
200;0.5;4191
200;0.5;4224
200;0.5;4181
200;0.5;4244
200;0.5;4220
200;0.5;4291
200;0.5;4425
200;0.5;4279
200;0.5;4299
200;0.5;4264
200;0.5;4291
200;0.5;4274
200;0.75;6421
200;0.75;6311
200;0.75;6400
200;0.75;6424
200;0.75;6484
200;0.75;6412
200;0.75;6482
200;0.75;6471
200;0.75;6468
200;0.75;6429
200;0.75;6465
200;0.75;6465
200;0.75;6454
200;0.75;6418
200;0.75;6557
200;0.75;6507
200;0.75;6601
200;0.75;6472
200;0.75;6449
200;0.75;6414
200;0.75;6470
200;0.75;6418
200;0.75;6472
200;0.75;6322
200;0.75;6443
200;0.75;6268
200;0.75;6381
200;0.75;6347
200;0.75;6439
200;0.75;6400
200;0.75;6333
