NodesNumber;Density;Time
200;0.25;5807
200;0.25;5926
200;0.25;5904
200;0.25;6097
200;0.25;5912
200;0.25;5786
200;0.25;5812
200;0.25;5842
200;0.25;5804
200;0.25;5829
200;0.25;5933
200;0.25;5892
200;0.25;5752
200;0.25;5866
200;0.25;6207
200;0.25;6052
200;0.25;5767
200;0.25;5748
200;0.25;5779
200;0.25;5766
200;0.25;6103
200;0.25;6410
200;0.25;5975
200;0.25;5851
200;0.25;5936
200;0.25;5962
200;0.25;5827
200;0.25;5891
200;0.25;5807
200;0.25;6379
200;0.25;6064
200;0.25;5900
200;0.25;6273
200;0.25;5733
200;0.25;6246
200;0.25;5976
200;0.25;5817
200;0.25;6055
200;0.25;6256
200;0.25;6564
200;0.25;5714
200;0.25;5840
200;0.25;5848
200;0.25;5793
200;0.25;6188
200;0.25;5853
200;0.25;6150
200;0.25;5647
200;0.25;6106
200;0.25;6158
200;0.5;14740
200;0.5;14565
200;0.5;14319
200;0.5;14687
200;0.5;14696
200;0.5;14432
200;0.5;14404
200;0.5;14541
200;0.5;13963
200;0.5;14474
200;0.5;14347
200;0.5;14612
200;0.5;14110
200;0.5;14423
200;0.5;14516
200;0.5;14668
200;0.5;14494
200;0.5;14221
200;0.5;14333
200;0.5;14886
200;0.5;14435
200;0.5;14556
200;0.5;14215
200;0.5;14589
200;0.5;14502
200;0.5;14403
200;0.5;14500
200;0.5;14326
200;0.5;14174
200;0.5;14970
200;0.5;14487
200;0.5;14444
200;0.5;14508
200;0.5;14344
200;0.5;14915
200;0.5;14400
200;0.5;14512
200;0.5;14389
200;0.5;14516
200;0.5;14410
200;0.5;14829
200;0.5;14112
200;0.5;14765
200;0.5;14522
200;0.5;18843
200;0.5;14391
200;0.5;14783
200;0.5;14492
200;0.5;14629
200;0.5;14258
200;0.75;19791
200;0.75;19386
200;0.75;18753
200;0.75;19060
200;0.75;20298
200;0.75;20184
200;0.75;19499
200;0.75;18955
200;0.75;19607
200;0.75;18863
200;0.75;18808
200;0.75;19101
200;0.75;18899
200;0.75;18950
200;0.75;19723
200;0.75;19743
200;0.75;21798
200;0.75;19734
200;0.75;19558
200;0.75;19350
200;0.75;19196
200;0.75;19801
200;0.75;19394
200;0.75;19772
200;0.75;19531
200;0.75;19432
200;0.75;19690
200;0.75;19743
200;0.75;20501
200;0.75;19607
200;0.75;19519
200;0.75;19721
200;0.75;19819
200;0.75;19916
200;0.75;20437
200;0.75;19874
200;0.75;20056
200;0.75;19098
200;0.75;19585
200;0.75;20382
200;0.75;20452
200;0.75;20429
200;0.75;19377
200;0.75;19409
200;0.75;19136
200;0.75;18960
200;0.75;19454
200;0.75;19816
200;0.75;19498
200;0.75;19527
200;0.99;28788
200;0.99;28076
200;0.99;26779
200;0.99;27388
200;0.99;28671
200;0.99;28199
200;0.99;27252
200;0.99;28359
200;0.99;28121
200;0.99;27579
200;0.99;27879
200;0.99;27900
200;0.99;27973
200;0.99;27231
200;0.99;27179
200;0.99;30895
200;0.99;27161
200;0.99;29367
200;0.99;27508
200;0.99;27355
200;0.99;26678
200;0.99;28144
200;0.99;28656
200;0.99;27582
200;0.99;27998
200;0.99;27928
200;0.99;29231
200;0.99;29019
200;0.99;27402
200;0.99;26846
200;0.99;28311
200;0.99;27338
200;0.99;27562
200;0.99;27348
200;0.99;27817
200;0.99;27239
200;0.99;27611
200;0.99;27734
200;0.99;28103
